timestamp,cpu_pct,memory_pct,active_connections,lock_wait_count,disk_io_mbps,cache_hit_ratio
2026-01-05 00:00:00,17.01,38.52,16,1.03,24.7,0.956
2026-01-05 00:00:30,16.47,39.96,12,0.13,67.16,0.9768
2026-01-05 00:01:00,16.3,42.86,14,0.13,59.54,0.9594
2026-01-05 00:01:30,18.74,40.5,11,0.22,72.34,0.9675
2026-01-05 00:02:00,14.83,39.9,14,0.74,60.23,0.9733
2026-01-05 00:02:30,22.54,39.79,9,0.15,63.28,0.9803
2026-01-05 00:03:00,15.78,38.93,8,0.89,65.23,0.9744
2026-01-05 00:03:30,14.13,41.08,12,0.67,67.15,0.9712
2026-01-05 00:04:00,18.17,40.75,13,0.88,32.26,0.9658
2026-01-05 00:04:30,14.72,39.34,10,1.31,41.13,0.9787
2026-01-05 00:05:00,11.09,39.95,13,0.86,64.83,0.9769
2026-01-05 00:05:30,15.1,39.7,16,0.47,35.02,0.9576
2026-01-05 00:06:00,13.4,41.62,13,0.91,47.79,0.9705
2026-01-05 00:06:30,18.03,40.01,14,0.23,48.75,0.9651
2026-01-05 00:07:00,12.58,41.61,10,0.57,61.45,0.9734
2026-01-05 00:07:30,18.16,40.44,10,0.52,28.92,0.9545
2026-01-05 00:08:00,12.21,38.65,14,0.11,48.6,0.9819
2026-01-05 00:08:30,15.11,42.12,7,0.46,40.02,0.9655
2026-01-05 00:09:00,18.71,37.19,14,0.68,45.4,0.9545
2026-01-05 00:09:30,16.4,39.59,13,0.58,78.34,0.9665
2026-01-05 00:10:00,13.13,41.01,13,1.24,66.88,0.9725
2026-01-05 00:10:30,20.59,38.28,9,0.1,48.51,0.9551
2026-01-05 00:11:00,18.11,40.21,5,0.06,59.1,0.9773
2026-01-05 00:11:30,22.2,46.49,14,0.07,22.41,0.9716
2026-01-05 00:12:00,13.78,39.83,9,0.5,70.42,0.9705
2026-01-05 00:12:30,15.74,38.59,4,0.32,53.63,0.9866
2026-01-05 00:13:00,16.62,42.64,10,0.0,40.0,0.9616
2026-01-05 00:13:30,22.62,39.03,16,0.12,68.45,0.9727
2026-01-05 00:14:00,15.77,40.6,9,0.79,47.69,0.9566
2026-01-05 00:14:30,12.41,41.02,20,0.65,52.74,0.9717
2026-01-05 00:15:00,20.17,41.12,10,1.12,60.99,0.9842
2026-01-05 00:15:30,16.8,38.23,5,1.39,80.41,0.9671
2026-01-05 00:16:00,15.12,43.61,7,0.12,64.25,0.9649
2026-01-05 00:16:30,16.25,40.36,14,1.27,55.96,0.9753
2026-01-05 00:17:00,10.13,40.6,8,0.0,41.47,0.9655
2026-01-05 00:17:30,19.02,38.04,12,0.33,49.73,0.9789
2026-01-05 00:18:00,17.9,43.38,11,0.22,51.33,0.9713
2026-01-05 00:18:30,16.82,38.53,13,0.68,92.45,0.9876
2026-01-05 00:19:00,13.74,40.13,5,0.28,59.46,0.9809
2026-01-05 00:19:30,14.11,39.4,1,0.49,38.79,0.9635
2026-01-05 00:20:00,13.68,40.53,3,0.0,86.71,0.9559
2026-01-05 00:20:30,13.02,44.39,27,0.0,49.25,0.9722
2026-01-05 00:21:00,21.51,38.75,11,0.96,61.34,0.965
2026-01-05 00:21:30,15.92,37.97,11,0.44,58.3,0.9632
2026-01-05 00:22:00,17.75,42.75,13,0.75,55.66,0.9688
2026-01-05 00:22:30,14.17,41.36,12,1.62,78.46,0.9726
2026-01-05 00:23:00,14.06,38.51,18,0.7,62.11,0.9513
2026-01-05 00:23:30,19.13,41.64,7,0.34,58.86,0.9693
2026-01-05 00:24:00,15.48,40.54,11,0.65,77.02,0.9431
2026-01-05 00:24:30,15.65,41.1,14,0.39,28.6,0.972
2026-01-05 00:25:00,21.56,37.68,17,0.41,54.07,0.9582
2026-01-05 00:25:30,15.37,43.35,15,1.44,72.65,0.9731
2026-01-05 00:26:00,21.62,41.63,16,0.43,56.04,0.9618
2026-01-05 00:26:30,19.35,38.4,16,0.48,72.61,0.9762
2026-01-05 00:27:00,21.86,42.22,4,0.54,37.5,0.9635
2026-01-05 00:27:30,20.93,42.04,9,0.07,55.58,0.9566
2026-01-05 00:28:00,14.4,41.39,18,0.88,20.76,0.9718
2026-01-05 00:28:30,16.63,41.6,20,0.0,46.26,0.9746
2026-01-05 00:29:00,11.68,43.73,14,1.0,46.61,0.9768
2026-01-05 00:29:30,19.63,41.24,14,0.71,42.23,0.9672
2026-01-05 00:30:00,15.98,41.55,17,0.05,53.35,0.9835
2026-01-05 00:30:30,14.21,39.14,13,1.0,55.4,0.982
2026-01-05 00:31:00,19.02,42.47,15,1.74,52.19,0.9486
2026-01-05 00:31:30,21.26,39.88,13,1.23,31.24,0.9562
2026-01-05 00:32:00,11.66,39.21,15,0.84,59.46,0.9545
2026-01-05 00:32:30,9.53,40.91,10,0.81,65.85,0.9701
2026-01-05 00:33:00,18.76,41.26,15,0.23,52.67,0.9706
2026-01-05 00:33:30,18.94,40.02,15,0.45,53.6,0.977
2026-01-05 00:34:00,10.51,38.22,5,0.0,45.24,0.9761
2026-01-05 00:34:30,15.63,41.21,18,1.25,54.38,0.9822
2026-01-05 00:35:00,16.78,39.14,9,0.0,42.14,0.9651
2026-01-05 00:35:30,18.91,44.26,6,0.78,39.86,0.9734
2026-01-05 00:36:00,16.12,37.17,17,0.28,47.5,0.9579
2026-01-05 00:36:30,14.55,41.68,12,0.75,60.94,0.9818
2026-01-05 00:37:00,15.5,37.88,18,0.42,72.28,0.9724
2026-01-05 00:37:30,16.14,41.53,22,1.62,56.6,0.9702
2026-01-05 00:38:00,19.77,39.15,14,0.57,60.32,0.9603
2026-01-05 00:38:30,11.77,36.7,7,0.35,51.21,0.988
2026-01-05 00:39:00,19.88,38.93,14,0.38,51.4,0.9704
2026-01-05 00:39:30,18.41,40.17,18,0.01,55.76,0.9946
2026-01-05 00:40:00,17.24,43.72,13,0.88,54.86,0.9669
2026-01-05 00:40:30,14.23,41.72,8,0.92,71.99,0.9722
2026-01-05 00:41:00,15.73,41.77,11,1.05,28.29,0.9652
2026-01-05 00:41:30,10.61,37.87,19,1.03,44.97,0.9535
2026-01-05 00:42:00,7.71,39.79,25,0.8,47.42,0.9732
2026-01-05 00:42:30,11.92,40.28,13,0.54,67.68,0.972
2026-01-05 00:43:00,18.62,39.5,17,1.4,41.31,0.9597
2026-01-05 00:43:30,20.62,40.5,20,0.37,77.69,0.9698
2026-01-05 00:44:00,17.4,44.02,11,0.12,49.19,0.973
